Participant: Bear_03
Actions: 6;
1. Action:;SingleTargetAttack (CAction)
;1.1. Consideration:; AbilityScore
;1.2. Consideration:; TargetHealth
;1.3. Consideration:; DistanceTo
;1.4. Consideration:; OwnResource
;1.5. Consideration:; OwnHealth
;1.6. Consideration:; LineOfSight
;1.7. Consideration:; TargetDamageReduction

2. Action:;DefendSelf (CAction)
;2.1. Consideration:; Cooldown
;2.2. Consideration:; EntitiesInRadius
;2.3. Consideration:; OwnHealth

3. Action:;AreaOfEffectDebuff (CAction)
;3.1. Consideration:; LineOfSight
;3.2. Consideration:; StatChangeValue
;3.3. Consideration:; OwnResource
;3.4. Consideration:; EntitiesInRadius
;3.5. Consideration:; OwnHealth

4. Action:;Move (CAction)
;4.1. Consideration:; DistanceTo

5. Action:;TryToAvoidAoe (CAction)
;5.1. Consideration:; OwnHealth
;5.2. Consideration:; LineOfSight
;5.3. Consideration:; AffectedArea
;5.4. Consideration:; TargetedBy

6. Action:;Interrupt (CAction)
;6.1. Consideration:; PreparationTime
;6.2. Consideration:; OwnHealth
;6.3. Consideration:; LineOfSight
;6.4. Consideration:; GaugeProgress
;6.5. Consideration:; DistanceTo


Decision Making of Participant "Bear_03" started;Gauge Position: 598.9891;;Time: 14.07.2020 18:16:01
Score-Calculation of Action: SingleTargetAttack;-> Bear_03;using;"Combo Attack";on;Flamma.
AbilityScore:;Consideration Score:; 0.7762568; AbilityScore: 7; Input: 0.7; ResponseCurve: 0.7762568;
TargetHealth:;Consideration Score:; 0.8; TargetHealth (%): 1; Input: 1; ResponseCurve: 0.8;
DistanceTo:;Consideration Score:; 0.9761632; distance: 10.15891; Input: 0.2579454; ResponseCurve: 0.9761632;
OwnResource:;Consideration Score:; 1; ownResource (%): 1; Input: 1; ResponseCurve: 1;
OwnHealth:;Consideration Score:; 0.9931068; ownHealth (%): 1; Input: 1; ResponseCurve: 0.9931068;
LineOfSight:;Consideration Score:; 1; isInLineOfSight: True; Input: 1; ResponseCurve: 1;
TargetDamageReduction:;Consideration Score:; 0.9933072; damageReductionInPercent: 0; Input: 0; ResponseCurve: 0.9933072;
Action Score (Compensation: "None"):;0.5979948

Score-Calculation of Action: SingleTargetAttack;-> Bear_03;using;"Combo Attack";on;Aqua.
AbilityScore:;Consideration Score:; 0.7762568; AbilityScore: 7; Input: 0.7; ResponseCurve: 0.7762568;
TargetHealth:;Consideration Score:; 0.8; TargetHealth (%): 1; Input: 1; ResponseCurve: 0.8;
DistanceTo:;Consideration Score:; 0.5100032; distance: 33.44022; Input: 1; ResponseCurve: 0.5100032;
OwnResource:;Consideration Score:; 1; ownResource (%): 1; Input: 1; ResponseCurve: 1;
OwnHealth:;Consideration Score:; 0.9931068; ownHealth (%): 1; Input: 1; ResponseCurve: 0.9931068;
LineOfSight:;Consideration Score:; 0; isInLineOfSight: False; Input: 0; ResponseCurve: 0;
TargetDamageReduction:;Consideration Score:; 0.9933072; damageReductionInPercent: 0; Input: 0; ResponseCurve: 0.9933072;
Action Score (Compensation: "None"):;0

Score-Calculation of Action: SingleTargetAttack;-> Bear_03;using;"Combo Attack";on;Terra.
AbilityScore:;Consideration Score:; 0.7762568; AbilityScore: 7; Input: 0.7; ResponseCurve: 0.7762568;
TargetHealth:;Consideration Score:; 0.8; TargetHealth (%): 1; Input: 1; ResponseCurve: 0.8;
DistanceTo:;Consideration Score:; 0.5208501; distance: 24.46128; Input: 0.9730639; ResponseCurve: 0.5208501;
OwnResource:;Consideration Score:; 1; ownResource (%): 1; Input: 1; ResponseCurve: 1;
OwnHealth:;Consideration Score:; 0.9931068; ownHealth (%): 1; Input: 1; ResponseCurve: 0.9931068;
LineOfSight:;Consideration Score:; 1; isInLineOfSight: True; Input: 1; ResponseCurve: 1;
TargetDamageReduction:;Consideration Score:; 0.9933072; damageReductionInPercent: 0; Input: 0; ResponseCurve: 0.9933072;
Action Score (Compensation: "None"):;0.3190712

Score-Calculation of Action: SingleTargetAttack;-> Bear_03;using;"Combo Attack";on;Aura.
AbilityScore:;Consideration Score:; 0.7762568; AbilityScore: 7; Input: 0.7; ResponseCurve: 0.7762568;
TargetHealth:;Consideration Score:; 0.8520548; TargetHealth (%): 0.739726; Input: 0.739726; ResponseCurve: 0.8520548;
DistanceTo:;Consideration Score:; 0.5100032; distance: 37.2632; Input: 1; ResponseCurve: 0.5100032;
OwnResource:;Consideration Score:; 1; ownResource (%): 1; Input: 1; ResponseCurve: 1;
OwnHealth:;Consideration Score:; 0.9931068; ownHealth (%): 1; Input: 1; ResponseCurve: 0.9931068;
LineOfSight:;Consideration Score:; 0; isInLineOfSight: False; Input: 0; ResponseCurve: 0;
TargetDamageReduction:;Consideration Score:; 0.9933072; damageReductionInPercent: 0; Input: 0; ResponseCurve: 0.9933072;
Action Score (Compensation: "None"):;0

Score-Calculation of Action: SingleTargetAttack;-> Bear_03;using;"Critical Attack";on;Flamma.
AbilityScore:;Consideration Score:; 0.7364919; AbilityScore: 6; Input: 0.6; ResponseCurve: 0.7364919;
TargetHealth:;Consideration Score:; 0.8; TargetHealth (%): 1; Input: 1; ResponseCurve: 0.8;
DistanceTo:;Consideration Score:; 0.9761632; distance: 10.15891; Input: 0.2579454; ResponseCurve: 0.9761632;
OwnResource:;Consideration Score:; 1; ownResource (%): 1; Input: 1; ResponseCurve: 1;
OwnHealth:;Consideration Score:; 0.9931068; ownHealth (%): 1; Input: 1; ResponseCurve: 0.9931068;
LineOfSight:;Consideration Score:; 1; isInLineOfSight: True; Input: 1; ResponseCurve: 1;
TargetDamageReduction:;Consideration Score:; 0.9933072; damageReductionInPercent: 0; Input: 0; ResponseCurve: 0.9933072;
Action Score (Compensation: "None"):;0.5673616

Score-Calculation of Action: SingleTargetAttack;-> Bear_03;using;"Critical Attack";on;Aqua.
AbilityScore:;Consideration Score:; 0.7364919; AbilityScore: 6; Input: 0.6; ResponseCurve: 0.7364919;
TargetHealth:;Consideration Score:; 0.8; TargetHealth (%): 1; Input: 1; ResponseCurve: 0.8;
DistanceTo:;Consideration Score:; 0.5100032; distance: 33.44022; Input: 1; ResponseCurve: 0.5100032;
OwnResource:;Consideration Score:; 1; ownResource (%): 1; Input: 1; ResponseCurve: 1;
OwnHealth:;Consideration Score:; 0.9931068; ownHealth (%): 1; Input: 1; ResponseCurve: 0.9931068;
LineOfSight:;Consideration Score:; 0; isInLineOfSight: False; Input: 0; ResponseCurve: 0;
TargetDamageReduction:;Consideration Score:; 0.9933072; damageReductionInPercent: 0; Input: 0; ResponseCurve: 0.9933072;
Action Score (Compensation: "None"):;0

Score-Calculation of Action: SingleTargetAttack;-> Bear_03;using;"Critical Attack";on;Terra.
AbilityScore:;Consideration Score:; 0.7364919; AbilityScore: 6; Input: 0.6; ResponseCurve: 0.7364919;
TargetHealth:;Consideration Score:; 0.8; TargetHealth (%): 1; Input: 1; ResponseCurve: 0.8;
DistanceTo:;Consideration Score:; 0.5208501; distance: 24.46128; Input: 0.9730639; ResponseCurve: 0.5208501;
OwnResource:;Consideration Score:; 1; ownResource (%): 1; Input: 1; ResponseCurve: 1;
